,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
8957,OMEGA,SEAMASTER_AQUA,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,FEMME,6358.0,55,34,15.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,ÉTATS-UNIS
8959,OMEGA,DE_VILLE,MANUEL,ACIER,INCONNUE,1970,SATISFAISANT,FEMME,337.0,30,15,0.0,OR_ACIER,PLASTIQUE,BOUCLE_ARDILLON,OR_ACIER,2024-04-18,0,INDONÉSIE
8962,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,INCONNUE,1991,SATISFAISANT,FEMME,11950.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,PAYS-BAS
8963,ROLEX,YACHT-MASTER,AUTOMATIQUE,OR_ACIER,OR_ACIER,2001,SATISFAISANT,FEMME,6690.0,48,29,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,DANEMARK
8964,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_ROSE,INCONNUE,2011,SATISFAISANT,FEMME,31796.0,42,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_ROSE,2024-04-18,1,ÉTATS-UNIS
8965,LONGINES,CONQUEST_CLASSIC,AUTOMATIQUE,ACIER,ACIER,2023,SATISFAISANT,FEMME,1270.0,40,30,5.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,Non_renseignée,ITALIE
8966,OMEGA,DE_VILLE,MANUEL,ACIER,CUIR,1976,SATISFAISANT,FEMME,324.0,30,32,0.0,ACIER,PLASTIQUE,BOUCLE_ARDILLON,ACIER,2024-04-18,0,JAPON
8969,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,1995,SATISFAISANT,FEMME,4290.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,POLOGNE
8971,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,1995,SATISFAISANT,FEMME,6120.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,GRANDE-BRETAGNE
8973,ROLEX,OYSTER_PERPETUAL,MANUEL,ACIER,ACIER,2023,NEUF,FEMME,6900.0,40,34,10.0,ACIER,INCONNUE,PLIS,ACIER,2024-04-18,0,FRANCE
8974,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2000,SATISFAISANT,FEMME,7272.0,48,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,SUISSE
8975,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,2019,SATISFAISANT,FEMME,20350.0,55,28,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ÉTATS-UNIS
8976,LONGINES,LEGEND_DIVER,AUTOMATIQUE,ACIER,CUIR,2024,NEUF,FEMME,2012.0,45,36,30.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-18,1,ALLEMAGNE
8977,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,2007,SATISFAISANT,FEMME,6248.0,48,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,JAPON
8978,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_ACIER,OR_ACIER,2020,SATISFAISANT,FEMME,21130.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ÉTATS-UNIS
8979,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_ACIER,OR_ACIER,1984,SATISFAISANT,FEMME,5490.0,42,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ALLEMAGNE
8981,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2020,SATISFAISANT,FEMME,9244.0,55,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,ÉTATS-UNIS
8982,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,FEMME,10750.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,AUTRICHE
8983,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2012,SATISFAISANT,FEMME,8634.0,48,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,GRANDE-BRETAGNE
8984,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,2001,SATISFAISANT,FEMME,5053.0,48,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,PAYS-BAS
8985,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2005,SATISFAISANT,FEMME,3595.0,42,24,2.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,GRANDE-BRETAGNE
8986,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,FEMME,14447.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,ÉTATS-UNIS
8987,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,FEMME,8999.0,55,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,AUTRICHE
8988,CARTIER,SANTOS_GALBÉE,AUTOMATIQUE,ACIER,ACIER,,SATISFAISANT,FEMME,3660.0,42,32,0.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-18,Non_renseignée,FRANCE
8990,LONGINES,RECORD,AUTOMATIQUE,ACIER,ACIER,,SATISFAISANT,FEMME,1008.0,64,26,3.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,JAPON
8991,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,OR_ACIER,OR_ACIER,1992,SATISFAISANT,FEMME,3500.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,0,ITALIE
8992,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1998,SATISFAISANT,FEMME,5600.0,42,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,0,ITALIE
8993,CARTIER,TANK_VERMEIL,MANUEL,OR_JAUNE,CUIR,1970,SATISFAISANT,HOMME,2409.0,44,27,0.0,INDETERMINE,SAPHIR,BOUCLE_ARDILLON,OR_JAUNE,2024-04-18,1,ÉTATS-UNIS
8994,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,SATISFAISANT,FEMME,5654.0,48,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,2,ÉTATS-UNIS
8995,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_JAUNE,INCONNUE,2023,SATISFAISANT,FEMME,29990.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS_COUVERT,OR_JAUNE,2024-04-18,1,ALLEMAGNE
8997,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_ACIER,OR_ACIER,2020,SATISFAISANT,FEMME,15031.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_ROSE,2024-04-18,1,ÉTATS-UNIS
8999,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_JAUNE,OR_ACIER,1990,SATISFAISANT,FEMME,8634.0,42,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,GRANDE-BRETAGNE
9000,OMEGA,DE_VILLE,MANUEL,ACIER,CUIR_VACHE,1967,SATISFAISANT,FEMME,220.0,42,19,0.0,ACIER,MINÉRAL,BOUCLE_ARDILLON,ACIER,2024-04-18,1,ESPAGNE
9001,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,OR_ACIER,1990,SATISFAISANT,FEMME,6121.0,40,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,GRANDE-BRETAGNE
9002,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,OR_ACIER,1978,SATISFAISANT,FEMME,3180.0,42,26,10.0,INDETERMINE,INCONNUE,PLIS,OR_JAUNE,2024-04-18,1,ÉTATS-UNIS
9003,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,1995,SATISFAISANT,FEMME,4855.0,40,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,SUÈDE
9004,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,1990,SATISFAISANT,FEMME,6841.0,40,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,GRANDE-BRETAGNE
9005,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,FEMME,12700.0,42,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,Non_renseignée,ALLEMAGNE
9006,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,2003,SATISFAISANT,FEMME,4458.0,48,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_BLANC,2024-04-18,1,PAYS-BAS
9007,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,OR_ACIER,2016,SATISFAISANT,FEMME,14973.0,48,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_ROSE,2024-04-18,1,ÉTATS-UNIS
9008,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1972,SATISFAISANT,FEMME,3850.0,42,26,5.0,ACIER,INCONNUE,PLIS,ACIER,2024-04-18,1,ESPAGNE
9009,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2002,SATISFAISANT,FEMME,4286.0,55,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,Non_renseignée,ALLEMAGNE
