,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
901,LONGINES,SPIRIT,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,HOMME/UNISEXE,2400.0,72,42,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,1,FRANCE
903,TAG_HEUER,CARRERA_PORSCHE,AUTOMATIQUE,ACIER,CUIR,2022,NEUF,HOMME/UNISEXE,5590.0,80,44,10.0,CÉRAMIQUE,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
904,TUDOR,PELAGOS,AUTOMATIQUE,TITANE,TEXTILE,2021,NEUF,HOMME/UNISEXE,4400.0,70,42,20.0,CÉRAMIQUE,SAPHIR,BOUCLE_ARDILLON,CÉRAMIQUE,2024-04-17,1,FRANCE
905,CASIO,G-SHOCK,QUARTZ,ACIER,ACIER,2022,NEUF,HOMME/UNISEXE,599.0,0,50,20.0,ACIER,MINÉRAL,PLIS,ACIER,2024-04-17,2,FRANCE
906,ORIS,AQUIS_DATE,AUTOMATIQUE,ACIER,ACIER,2020,NEUF,HOMME/UNISEXE,1090.0,38,44,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,1,FRANCE
907,HAMILTON,KHAKI_FIELD,MANUEL,ACIER,ACIER,2022,NEUF,HOMME/UNISEXE,450.0,80,38,5.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-17,0,FRANCE
908,CARTIER,21_MUST,QUARTZ,OR_ACIER,OR_ACIER,1988,NEUF,HOMME/UNISEXE,850.0,0,31,3.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-17,0,FRANCE
909,ORIS,PROPILOT_X,AUTOMATIQUE,TITANE,TITANE,2023,NEUF,HOMME/UNISEXE,2700.0,120,39,10.0,TITANE,SAPHIR,PLIS,TITANE,2024-04-17,1,FRANCE
910,SEIKO,ALPINIST,AUTOMATIQUE,ACIER,ACIER,2021,NEUF,HOMME/UNISEXE,1750.0,70,38,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
913,VACHERON_CONSTANTIN,PATRIMONY,MANUEL,OR_JAUNE,CUIR,2000,NEUF,HOMME/UNISEXE,5250.0,48,32,0.0,INDETERMINE,SAPHIR,BOUCLE_ARDILLON,OR_JAUNE,2024-04-17,0,FRANCE
914,GLYCINE,COMBAT_SUB,AUTOMATIQUE,ACIER,ACIER,2020,NEUF,HOMME/UNISEXE,480.0,38,42,20.0,ALUMINIUM,SAPHIR,PLIS_COUVERT,ALUMINIUM,2024-04-17,1,BELGIQUE
915,ROLEX,EXPLORER_II,AUTOMATIQUE,ACIER,ACIER,2014,NEUF,HOMME/UNISEXE,9800.0,48,42,0.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,2,ALLEMAGNE
916,ROLEX,AIR_KING,AUTOMATIQUE,ACIER,ACIER,1999,NEUF,HOMME/UNISEXE,5450.0,42,34,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,2,FRANCE
921,JAEGER_LECOULTRE,MASTER_CALENDAR,AUTOMATIQUE,ACIER,INCONNUE,2019,NEUF,HOMME/UNISEXE,8500.0,43,39,5.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,2,FRANCE
922,OMEGA,SPEEDMASTER_PROFESSIONAL,MANUEL,ACIER,ACIER,2001,NEUF,HOMME/UNISEXE,4650.0,50,42,0.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
923,ROLEX,MILGAUSS,AUTOMATIQUE,ACIER,ACIER,2010,NEUF,HOMME/UNISEXE,9100.0,48,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,3,BELGIQUE
924,SWATCH,MOONSWATCH,QUARTZ,CÉRAMIQUE,TEXTILE,2023,NEUF,HOMME/UNISEXE,450.0,0,42,3.0,CÉRAMIQUE,INCONNUE,PLIS,CÉRAMIQUE,2024-04-17,0,FRANCE
925,ROLEX,GMT-MASTER_II,AUTOMATIQUE,ACIER,ACIER,2017,NEUF,HOMME/UNISEXE,13800.0,48,40,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,2,FRANCE
927,TUDOR,BLACK_BAY,AUTOMATIQUE,ACIER,ACIER,2023,SATISFAISANT,HOMME/UNISEXE,3850.0,70,41,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
928,OMEGA,SEAMASTER_PLANET,AUTOMATIQUE,ACIER,ACIER,,NEUF,HOMME/UNISEXE,6060.0,48,44,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-17,3,FRANCE
929,OMEGA,SEAMASTER_DEVILLE,AUTOMATIQUE,ACIER,CUIR,1970,NEUF,HOMME/UNISEXE,650.0,36,34,0.0,ACIER,INCONNUE,BOUCLE_ARDILLON,ACIER,2024-04-17,1,FRANCE
932,STEINHART,OCEAN_1,AUTOMATIQUE,ACIER,ACIER,2019,SATISFAISANT,HOMME/UNISEXE,350.0,28800,42,30.0,CÉRAMIQUE,SAPHIR,DOUBLE_PLIS,CÉRAMIQUE,2024-04-17,1,FRANCE
933,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,HOMME/UNISEXE,6999.0,42,36,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,MONACO
934,OMEGA,SEAMASTER_PLANET,AUTOMATIQUE,ACIER,ACIER,2012,NEUF,HOMME/UNISEXE,6450.0,60,42,60.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,1,BELGIQUE
935,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1975,SATISFAISANT,HOMME/UNISEXE,4900.0,48,34,10.0,ACIER,INCONNUE,PLIS,ACIER,2024-04-17,1,FRANCE
936,ROLEX,SUBMARINER_DATE,AUTOMATIQUE,ACIER,ACIER,2010,SATISFAISANT,HOMME/UNISEXE,9900.0,48,40,30.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
937,BULGARI,OCTO,AUTOMATIQUE,TITANE,INCONNUE,2017,NEUF,HOMME/UNISEXE,9500.0,55,40,3.0,TITANE,SAPHIR,BOUCLE_ARDILLON,TITANE,2024-04-17,2,FRANCE
939,BREITLING,AEROSPACE_EVO,QUARTZ,TITANE,TITANE,2015,SATISFAISANT,HOMME/UNISEXE,2398.0,0,43,10.0,TITANE,SAPHIR,PLIS,TITANE,2024-04-17,4,FRANCE
941,SWATCH,MOONSWATCH,QUARTZ,CÉRAMIQUE,TEXTILE,2022,NEUF,HOMME/UNISEXE,320.0,0,42,3.0,CÉRAMIQUE,INCONNUE,PLIS,CÉRAMIQUE,2024-04-17,0,FRANCE
942,ROLEX,DAY-DATE_40,AUTOMATIQUE,OR_ROSE,INCONNUE,2021,NEUF,HOMME/UNISEXE,66900.0,70,40,10.0,INDETERMINE,SAPHIR,PLIS,OR_ROSE,2024-04-17,0,FRANCE
943,TUDOR,PRINCE_OYSTERDATE,AUTOMATIQUE,ACIER,ACIER,1974,SATISFAISANT,HOMME/UNISEXE,1700.0,38,34,2.0,INDETERMINE,INCONNUE,BOUCLE_ARDILLON,OR_BLANC,2024-04-17,1,FRANCE
944,PANERAI,LUMINOR_MARINA,AUTOMATIQUE,ACIER,CAOUTCHOUC,,NEUF,HOMME/UNISEXE,5250.0,72,44,30.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-17,1,FRANCE
946,ROLEX,SUBMARINER_(NO,AUTOMATIQUE,ACIER,ACIER,2011,NEUF,HOMME/UNISEXE,12800.0,48,40,30.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-17,Non_renseignée,FRANCE
947,OMEGA,"SPEEDMASTER'""'57""",MANUEL,ACIER,ACIER,2022,NEUF,HOMME/UNISEXE,6900.0,60,41,5.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
948,SEIKO,5_SPORTS,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,HOMME/UNISEXE,330.0,41,40,10.0,ACIER,MINÉRAL,PLIS,ACIER,2024-04-17,2,FRANCE
950,PANERAI,LUMINOR_MARINA,AUTOMATIQUE,ACIER,INCONNUE,2022,NEUF,HOMME/UNISEXE,6299.0,72,44,30.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-17,Non_renseignée,BELGIQUE
951,TAG_HEUER,FORMULA_1,QUARTZ,ACIER,ACIER,2022,SATISFAISANT,HOMME/UNISEXE,950.0,0,43,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
953,OMEGA,SPEEDMASTER,AUTOMATIQUE,ACIER,ACIER,1998,NEUF,HOMME/UNISEXE,3250.0,60,39,3.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,3,FRANCE
954,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,OR_ACIER,1992,NEUF,HOMME/UNISEXE,4900.0,42,29,3.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-17,1,BELGIQUE
956,IWC,PILOT_MARK,AUTOMATIQUE,ACIER,CUIR,2002,SATISFAISANT,HOMME/UNISEXE,4300.0,42,38,6.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2024-04-17,1,FRANCE
957,GRAND_SEIKO,EVOLUTION_9,AUTOMATIQUE,ACIER,ACIER,2021,NEUF,HOMME/UNISEXE,8600.0,120,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
958,TUDOR,BLACK_BAY,AUTOMATIQUE,ACIER,ACIER,2021,NEUF,HOMME/UNISEXE,3399.0,70,39,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
960,BAUME_MERCIER,RIVIERA,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,HOMME/UNISEXE,1600.0,38,42,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,BELGIQUE
962,OMEGA,SEAMASTER,AUTOMATIQUE,OR_ACIER,CUIR,1958,SATISFAISANT,HOMME/UNISEXE,770.0,42,34,0.0,OR_ACIER,INCONNUE,BOUCLE_ARDILLON,OR_ACIER,2024-04-17,1,FRANCE
963,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,2022,SATISFAISANT,HOMME/UNISEXE,7200.0,42,40,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-17,0,FRANCE
964,ROLEX,DATEJUST_36,AUTOMATIQUE,OR_ACIER,OR_ACIER,1980,SATISFAISANT,HOMME/UNISEXE,4680.0,42,36,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-17,1,FRANCE
965,AUDEMARS_PIGUET,ROYAL_OAK,AUTOMATIQUE,ACIER,ACIER,2014,NEUF,HOMME/UNISEXE,134340.0,60,39,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-17,0,FRANCE
966,BREITLING,CHRONOMAT,AUTOMATIQUE,OR_ACIER,CUIR,1990,NEUF,HOMME/UNISEXE,1600.0,42,39,10.0,OR_ACIER,SAPHIR,BOUCLE_ARDILLON,OR_ACIER,2024-04-17,2,FRANCE
967,TUDOR,BLACK_BAY,AUTOMATIQUE,ACIER,ACIER,2019,NEUF,HOMME/UNISEXE,3350.0,70,41,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
968,ROLEX,EXPLORER,AUTOMATIQUE,ACIER,ACIER,2010,NEUF,HOMME/UNISEXE,7700.0,48,39,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
970,ORIS,BIG_CROWN,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,HOMME/UNISEXE,1390.0,38,44,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,2,FRANCE
971,BREITLING,COLT_CHRONOGRAPH,QUARTZ,ACIER,ACIER,2020,NEUF,HOMME/UNISEXE,1050.0,0,38,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,2,FRANCE
