,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,pays
38878,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,2022.0,Bon,FEMME,13500.0,55.0,31.0,10.0,OR,SAPHIR,PLIS,OR,ESPAGNE
38879,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,2023.0,Bon,FEMME,13250.0,55.0,31.0,10.0,OR,SAPHIR,PLIS,OR,PAYS-BAS
38881,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,15900.0,48.0,31.0,10.0,OR,SAPHIR,PLIS,OR,RÉPUBLIQUE_TCHEQUE
38882,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,2022.0,Neuf,FEMME,12900.0,55.0,31.0,10.0,OR,SAPHIR,PLIS,OR,PAYS-BAS
38883,CARTIER,TANK-VERMEIL,AUTOMATIQUE,ARGENT,CUIR,,Bon,FEMME,1895.0,,23.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ACIER,PAYS-BAS
38885,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_BLANC,OR,1978.0,Bon,FEMME,9525.0,42.0,26.0,10.0,OR,PLEXIGLAS,PLIS,OR,POLOGNE
38887,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,1997.0,Bon,FEMME,5200.0,55.0,31.0,10.0,OR,SAPHIR,PLIS,OR,AUTRICHE
38891,ETERNA,1948,AUTOMATIQUE,ACIER,ACIER,2022.0,État non spécifié,FEMME,967.0,,41.0,5.0,,SAPHIR,PLIS,ACIER,ALLEMAGNE
38893,OMEGA,CLASSIC,AUTOMATIQUE,ACIER,CUIR,1940.0,Bon,FEMME,780.0,42.0,30.0,,ACIER,PLEXIGLAS,BOUCLE_ARDILLON,ACIER,AUTRICHE
38894,ROLEX,EXPLORER,AUTOMATIQUE,OR_ACIER,ACIER,2024.0,Neuf,FEMME,,70.0,36.0,10.0,OR,SAPHIR,PLIS,OR,ALLEMAGNE
38896,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,OR,,Bon,FEMME,7000.0,42.0,26.0,10.0,OR,SAPHIR,PLIS,OR,ITALIE
38897,LONGINES,CONQUEST,AUTOMATIQUE,ACIER,ACIER,2024.0,État non spécifié,FEMME,1725.0,45.0,34.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ESPAGNE
38900,ROLEX,PRECISION,AUTOMATIQUE,OR_JAUNE,OR,1960.0,Bon,FEMME,2900.0,40.0,22.0,,OR,MINÉRAL,BOUCLE_ARDILLON,OR,PAYS-BAS
