,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,comptage_fonctions,pays
2443,ROLEX,SUBMARINER-NO-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,11200.0,70.0,41.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
2444,CARTIER,SANTOS,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Bon,HOMME,7500.0,48.0,43.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,ITALIE
2445,OMEGA,CONSTELLATION,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,HOMME,1000.0,,38.0,,,,,,0,FRANCE
2446,SEIKO,KING,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,745.0,45.0,36.0,,ACIER,MINÉRAL,BOUCLE_ARDILLON,ACIER,0,FRANCE
2447,CARTIER,TANK,AUTOMATIQUE,ACIER,CUIR,,Neuf,HOMME,4899.0,42.0,41.0,3.0,ACIER,SAPHIR,PLIS,ACIER,0,BELGIQUE
2448,ROLEX,GMT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Neuf,HOMME,16450.0,70.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,ALLEMAGNE
2449,JAEGER-LECOULTRE,REVERSO-CLASSIC-SMALL,MANUEL,ACIER,CUIR,,Bon,HOMME,6789.0,42.0,45.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,0,JAPON
2450,ROLEX,DAYTONA,AUTOMATIQUE,OR_JAUNE,CAOUTCHOUC,,Bon,HOMME,34500.0,72.0,40.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,FRANCE
2451,CARTIER,SANTOS-100,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,4200.0,42.0,38.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,0,FRANCE
2452,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9300.0,70.0,41.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
2453,BREITLING,TOP-TIME,MANUEL,ACIER,TEXTILE,,Bon,HOMME,2900.0,45.0,38.0,,,,BOUCLE_ARDILLON,ACIER,2,POLOGNE
2455,ORIS,CLASSIC,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,900.0,42.0,39.0,10.0,,SAPHIR,PLIS,ACIER,1,FRANCE
2456,ROLEX,OYSTER-PERPETUAL-39,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,11217.0,48.0,39.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ÉTATS-UNIS
2457,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,12500.0,48.0,40.0,30.0,,SAPHIR,PLIS,OR,1,ITALIE
2458,ROLEX,SUBMARINER-DATE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,13900.0,50.0,40.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,FRANCE
2462,ORIS,BIG-CROWN-POINTER-DATE,AUTOMATIQUE,BRONZE,CUIR,,État non spécifié,HOMME,1632.0,38.0,40.0,5.0,BRONZE,SAPHIR,BOUCLE_ARDILLON,BRONZE,1,ÉTATS-UNIS
2464,JAEGER-LECOULTRE,MEMOVOX,MANUEL,ACIER,,,Bon,HOMME,2700.0,,37.0,,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,FRANCE
2465,ZENITH,EL-PRIMERO-CHRONOGRAPH,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,4000.0,,38.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,FRANCE
2466,ROLEX,SUBMARINER-NO-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,14217.0,70.0,41.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,ÉTATS-UNIS
2467,BREITLING,AVENGER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3500.0,38.0,42.0,30.0,ACIER,SAPHIR,PLIS,ACIER,1,ALLEMAGNE
2468,LONGINES,FLAGSHIP-HERITAGE,AUTOMATIQUE,ACIER,,,Bon,HOMME,1275.0,42.0,38.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,BELGIQUE
2469,ROLEX,DATEJUST-36,AUTOMATIQUE,OR_JAUNE,CUIR,,Bon,HOMME,19181.0,48.0,36.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
2470,CARTIER,PANTHÈRE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,2950.0,,29.0,,ACIER,SAPHIR,PLIS,ACIER,1,BELGIQUE
2472,BELL-&-ROSS,BR-01,MANUEL,CÉRAMIQUE,CAOUTCHOUC,,Bon,HOMME,8990.0,50.0,45.0,5.0,CÉRAMIQUE,SAPHIR,BOUCLE_ARDILLON,CÉRAMIQUE,3,FRANCE
2473,OMEGA,SEAMASTER,AUTOMATIQUE,OR_ACIER,CUIR,,Bon,HOMME,500.0,42.0,34.0,,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,0,FRANCE
2474,ROLEX,AIR-KING,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,6950.0,48.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
2475,FORTIS,B-42-MARINEMASTER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,1100.0,,43.0,20.0,,SAPHIR,BOUCLE_ARDILLON,ACIER,1,FRANCE
2476,GRAND-SEIKO,HERITAGE-COLLECTION,AUTOMATIQUE,TITANE,TITANE,,Satisfaisant,HOMME,4545.0,72.0,41.0,10.0,TITANE,SAPHIR,PLIS,TITANE,1,JAPON
2478,OMEGA,SEAMASTER-DIVER-300-M,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,2250.0,48.0,36.0,30.0,ACIER,SAPHIR,PLIS,ACIER,0,BELGIQUE
2479,ORIS,BIG-CROWN-POINTER-DATE,AUTOMATIQUE,ACIER,BRONZE,,Bon,HOMME,1700.0,38.0,38.0,5.0,BRONZE,SAPHIR,PLIS,BRONZE,0,FRANCE
2481,JAEGER-LECOULTRE,MASTER-COMPRESSOR,AUTOMATIQUE,ACIER,,,Bon,HOMME,4550.0,,41.0,20.0,ACIER,SAPHIR,PLIS,ACIER,2,ALLEMAGNE
2482,TUDOR,BLACK-BAY,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,2990.0,70.0,41.0,20.0,ACIER,SAPHIR,PLIS,ACIER,0,BELGIQUE
2484,ROLEX,OYSTER-PERPETUAL-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,4200.0,48.0,34.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
2487,RAYMOND-WEIL,DON-GIOVANNI,AUTOMATIQUE,ACIER,,,Bon,HOMME,630.0,,35.0,,,,,,0,FRANCE
2488,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13500.0,70.0,41.0,10.0,,SAPHIR,DOUBLE_PLIS,OR,1,FRANCE
2489,OMEGA,CONSTELLATION,AUTOMATIQUE,ACIER,CUIR,,Bon,HOMME,2000.0,40.0,34.0,,ACIER,MINÉRAL,BOUCLE_ARDILLON,ACIER,0,FRANCE
2490,CASIO,G-SHOCK,AUTOMATIQUE,,,,Neuf,HOMME,550.0,,,,,,,,0,BELGIQUE
2491,ROLEX,DAYTONA,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,16200.0,72.0,40.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
2492,ROLEX,EXPLORER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,9799.0,48.0,42.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,ALLEMAGNE
